id_estado;id_cidade;cidade;estado;sigla
11;1100015;Alta Floresta D'oeste;Rondônia; RO
11;1100023;Ariquemes;Rondônia; RO
11;1100031;Cabixi;Rondônia; RO
11;1100049;Cacoal;Rondônia; RO
11;1100056;Cerejeiras;Rondônia; RO
11;1100064;Colorado do Oeste;Rondônia; RO
11;1100072;Corumbiara;Rondônia; RO
11;1100080;Costa Marques;Rondônia; RO
11;1100098;Espigão D'oeste;Rondônia; RO
11;1100106;Guajará-Mirim;Rondônia; RO
11;1100114;Jaru;Rondônia; RO
11;1100122;Ji-Paraná;Rondônia; RO
11;1100130;Machadinho D'oeste;Rondônia; RO
11;1100148;Nova Brasilândia D'oeste;Rondônia; RO
11;1100155;Ouro Preto do Oeste;Rondônia; RO
11;1100189;Pimenta Bueno;Rondônia; RO
11;1100205;Porto Velho;Rondônia; RO
11;1100254;Presidente Médici;Rondônia; RO
11;1100262;Rio Crespo;Rondônia; RO
11;1100288;Rolim de Moura;Rondônia; RO
11;1100296;Santa Luzia D'oeste;Rondônia; RO
11;1100304;Vilhena;Rondônia; RO
11;1100320;São Miguel do Guaporé;Rondônia; RO
11;1100338;Nova Mamoré;Rondônia; RO
11;1100346;Alvorada D'oeste;Rondônia; RO
11;1100379;Alto Alegre dos Parecis;Rondônia; RO
11;1100403;Alto Paraíso;Rondônia; RO
11;1100452;Buritis;Rondônia; RO
11;1100502;Novo Horizonte do Oeste;Rondônia; RO
11;1100601;Cacaulândia;Rondônia; RO
11;1100700;Campo Novo de Rondônia;Rondônia; RO
11;1100809;Candeias do Jamari;Rondônia; RO
11;1100908;Castanheiras;Rondônia; RO
11;1100924;Chupinguaia;Rondônia; RO
11;1100940;Cujubim;Rondônia; RO
11;1101005;Governador Jorge Teixeira;Rondônia; RO
11;1101104;Itapuã do Oeste;Rondônia; RO
11;1101203;Ministro Andreazza;Rondônia; RO
11;1101302;Mirante da Serra;Rondônia; RO
11;1101401;Monte Negro;Rondônia; RO
11;1101435;Nova União;Rondônia; RO
11;1101450;Parecis;Rondônia; RO
11;1101468;Pimenteiras do Oeste;Rondônia; RO
11;1101476;Primavera de Rondônia;Rondônia; RO
11;1101484;São Felipe D'oeste;Rondônia; RO
11;1101492;São Francisco do Guaporé;Rondônia; RO
11;1101500;Seringueiras;Rondônia; RO
11;1101559;Teixeirópolis;Rondônia; RO
11;1101609;Theobroma;Rondônia; RO
11;1101708;Urupá;Rondônia; RO
11;1101757;Vale do Anari;Rondônia; RO
11;1101807;Vale do Paraíso;Rondônia; RO
12;1200013;Acrelândia;Acre; AC
12;1200054;Assis Brasil;Acre; AC
12;1200104;Brasiléia;Acre; AC
12;1200138;Bujari;Acre; AC
12;1200179;Capixaba;Acre; AC
12;1200203;Cruzeiro do Sul;Acre; AC
12;1200252;Epitaciolândia;Acre; AC
12;1200302;Feijó;Acre; AC
12;1200328;Jordão;Acre; AC
12;1200336;Mâncio Lima;Acre; AC
12;1200344;Manoel Urbano;Acre; AC
12;1200351;Marechal Thaumaturgo;Acre; AC
12;1200385;Plácido de Castro;Acre; AC
12;1200393;Porto Walter;Acre; AC
12;1200401;Rio Branco;Acre; AC
12;1200427;Rodrigues Alves;Acre; AC
12;1200435;Santa Rosa do Purus;Acre; AC
12;1200450;Senador Guiomard;Acre; AC
12;1200500;Sena Madureira;Acre; AC
12;1200609;Tarauacá;Acre; AC
12;1200708;Xapuri;Acre; AC
12;1200807;Porto Acre;Acre; AC
13;1300029;Alvarães;Amazonas; AM
13;1300060;Amaturá;Amazonas; AM
13;1300086;Anamã;Amazonas; AM
13;1300102;Anori;Amazonas; AM
13;1300144;Apuí;Amazonas; AM
13;1300201;Atalaia do Norte;Amazonas; AM
13;1300300;Autazes;Amazonas; AM
13;1300409;Barcelos;Amazonas; AM
13;1300508;Barreirinha;Amazonas; AM
13;1300607;Benjamin Constant;Amazonas; AM
13;1300631;Beruri;Amazonas; AM
13;1300680;Boa Vista do Ramos;Amazonas; AM
13;1300706;Boca do Acre;Amazonas; AM
13;1300805;Borba;Amazonas; AM
13;1300839;Caapiranga;Amazonas; AM
13;1300904;Canutama;Amazonas; AM
13;1301001;Carauari;Amazonas; AM
13;1301100;Careiro;Amazonas; AM
13;1301159;Careiro da Várzea;Amazonas; AM
13;1301209;Coari;Amazonas; AM
13;1301308;Codajás;Amazonas; AM
13;1301407;Eirunepé;Amazonas; AM
13;1301506;Envira;Amazonas; AM
13;1301605;Fonte Boa;Amazonas; AM
13;1301654;Guajará;Amazonas; AM
13;1301704;Humaitá;Amazonas; AM
13;1301803;Ipixuna;Amazonas; AM
13;1301852;Iranduba;Amazonas; AM
13;1301902;Itacoatiara;Amazonas; AM
13;1301951;Itamarati;Amazonas; AM
13;1302009;Itapiranga;Amazonas; AM
13;1302108;Japurá;Amazonas; AM
13;1302207;Juruá;Amazonas; AM
13;1302306;Jutaí;Amazonas; AM
13;1302405;Lábrea;Amazonas; AM
13;1302504;Manacapuru;Amazonas; AM
13;1302553;Manaquiri;Amazonas; AM
13;1302603;Manaus;Amazonas; AM
13;1302702;Manicoré;Amazonas; AM
13;1302801;Maraã;Amazonas; AM
13;1302900;Maués;Amazonas; AM
13;1303007;Nhamundá;Amazonas; AM
13;1303106;Nova Olinda do Norte;Amazonas; AM
13;1303205;Novo Airão;Amazonas; AM
13;1303304;Novo Aripuanã;Amazonas; AM
13;1303403;Parintins;Amazonas; AM
13;1303502;Pauini;Amazonas; AM
13;1303536;Presidente Figueiredo;Amazonas; AM
13;1303569;Rio Preto da Eva;Amazonas; AM
13;1303601;Santa Isabel do Rio Negro;Amazonas; AM
13;1303700;Santo Antônio do Içá;Amazonas; AM
13;1303809;São Gabriel da Cachoeira;Amazonas; AM
13;1303908;São Paulo de Olivença;Amazonas; AM
13;1303957;São Sebastião do Uatumã;Amazonas; AM
13;1304005;Silves;Amazonas; AM
13;1304062;Tabatinga;Amazonas; AM
13;1304104;Tapauá;Amazonas; AM
13;1304203;Tefé;Amazonas; AM
13;1304237;Tonantins;Amazonas; AM
